Anzahl,Feuchtigkeit (standardisiert 0-1),Temperatur (standardisiert 0-1),Tageszeit
69,0.7,0.74,0.4312319191408924
18,0.79,0.72,1.2078269024080934
18,0.79,0.72,2.04737187321769
11,0.74,0.72,3.7864506170335464
12,0.84,0.7,4.164536082492503
40,0.84,0.7,5.889253863726728
150,0.84,0.7,6.492907973199161
463,0.84,0.7,7.866818388947155
590,0.7,0.74,8.237489835445881
256,0.55,0.8,9.397652055611196
150,0.49,0.84,10.257615174940804
161,0.41,0.86,11.38522727429045
215,0.35,0.9,12.227793068510824
172,0.35,0.9,13.007123122294466
176,0.37,0.88,13.853140658317756
194,0.33,0.92,15.379968881626334
320,0.35,0.9,16.16065602744001
615,0.37,0.88,16.791820566307752
640,0.41,0.86,18.493109159983025
499,0.39,0.88,19.007401058198813
436,0.44,0.86,20.415901577091518
311,0.52,0.82,21.229306972549672
243,0.63,0.8,22.33541212993189
146,0.59,0.8,23.04175839739828
93,0.7,0.76,0.3373299492004414
31,0.75,0.76,1.729637310263084
12,0.79,0.74,2.383631287558944
7,0.79,0.74,3.5018238426387462
10,0.66,0.76,4.047956502154914
38,0.66,0.74,5.215356677778383
122,0.66,0.74,6.371834038243245
359,0.58,0.74,7.223643779949929
613,0.55,0.76,8.458908749539244
333,0.58,0.76,8.926473500471877
185,0.52,0.8,10.775519145832899
236,0.49,0.8,10.840646277826442
254,0.49,0.84,12.630278159000678
300,0.39,0.88,13.40802803822149
263,0.39,0.88,14.074554324003074
284,0.35,0.9,15.483511686838927
380,0.31,0.9,16.36513782976372
646,0.38,0.82,17.696519531763116
505,0.55,0.8,17.830044578086493
362,0.55,0.76,19.556201934578603
202,0.55,0.76,20.467829172165505
197,0.69,0.68,22.446568516816786
174,0.74,0.66,23.44279138680223
68,0.62,0.72,0.7201003933449441
31,0.65,0.7,1.9498850489027635
14,0.7,0.7,2.5952730103666353
5,0.69,0.68,3.6000516380625256
4,0.78,0.66,4.453412373888657
43,0.74,0.66,5.229591105359616
158,0.78,0.64,6.656141261809648
485,0.74,0.66,7.402142289161071
608,0.69,0.66,8.58833613574727
268,0.65,0.7,9.154253884963858
184,0.55,0.76,10.232759348334527
181,0.43,0.8,11.019850680973027
270,0.45,0.76,12.771837750176608
260,0.51,0.72,13.34298207174309
251,0.43,0.78,14.045323219671491
233,0.38,0.78,14.935151092764208
414,0.31,0.8,16.482331751171397
833,0.24,0.8,17.277774377805535
791,0.27,0.76,18.620750171344856
582,0.27,0.74,19.315670541596447
475,0.3,0.72,20.360288943690747
331,0.3,0.68,21.125982579478325
187,0.29,0.66,22.474561997157227
103,0.33,0.64,23.037189567736966
37,0.33,0.62,0.030274633408471748
30,0.35,0.6,1.2368887649314124
9,0.43,0.56,2.295910027787545
9,0.45,0.54,3.0815021248893277
10,0.45,0.54,4.425072422128542
39,0.48,0.52,5.706276250005841
188,0.52,0.52,6.232510142710977
552,0.52,0.52,7.385039879560965
656,0.49,0.56,8.354377963687837
328,0.46,0.58,9.635606474289085
190,0.41,0.62,10.392872439125625
235,0.36,0.64,10.92374914783173
308,0.34,0.66,12.596775191971632
306,0.3,0.7,13.343770229974627
